,bp_rp,phot_g_mean_mag,distance_gspphot,visibility_periods_used,astrometric_sigma5d_max,astrometric_excess_noise,astrometric_matched_transits
68053,0.9746103,10.107822,86.1441,29,0.02064461,0.09327087,48
68054,2.645566,11.506599,15.8134,31,0.035006516,0.21705082,49
68055,2.324502,15.2429695,94.6602,28,0.0382086,0.0,56
68059,2.3830204,14.704351,89.4208,27,0.02873311,0.0,52
68062,1.0844297,10.833251,88.3091,29,0.018923873,0.07071191,52
68064,1.6094971,12.159049,93.2731,28,0.015163137,0.05416908,56
68066,1.0680795,8.372743,30.5533,29,0.01966561,0.07002903,51
68069,0.93546677,9.526331,79.4024,25,0.022538304,0.05645811,42
68070,2.4481936,14.7678175,95.7359,30,0.029699683,0.039462462,52
68072,3.1383572,17.368938,103.5164,29,0.12527213,0.0,51
68074,1.1825771,8.282883,23.2495,28,0.027425932,0.12337973,48
68078,2.5380268,15.773729,92.8649,27,0.050864823,0.10604442,43
68079,2.307516,14.883207,94.58,28,0.028606676,0.0,48
68082,3.088503,16.015501,49.4697,27,0.06747041,0.13597907,43
68083,2.4421797,14.413209,81.2305,29,0.028644426,0.08385825,50
68084,2.7071886,15.754234,99.6858,27,0.05193862,0.0,43
68085,0.8335953,10.154102,97.7977,28,0.022490092,0.11238927,46
68089,2.700077,15.287535,88.3115,26,0.03853427,0.0,37
68091,1.0264177,10.17176,68.2567,27,0.018099114,0.07636166,45
68092,0.811573,9.507271,82.0852,27,0.020001505,0.07919944,40
68098,1.6471167,12.417994,91.708,29,0.01574298,0.051606413,54
68099,1.3492594,11.655331,91.5092,29,0.018064877,0.09220774,47
68101,0.96754074,9.146222,68.0179,27,0.44428918,2.8692548,41
68103,2.5491219,13.60881,48.1633,28,0.022305068,0.04455342,47
68110,1.1105757,10.398252,75.3768,26,0.020244515,0.07181935,44
68114,2.1510897,13.011586,78.1126,26,0.021781763,0.051248293,40
68116,1.6118202,12.161628,115.8384,25,0.35104373,2.177564,36
68118,3.0880356,15.457221,47.3722,27,0.051978428,0.15829813,44
68119,0.7070551,8.1328945,87.5209,26,0.03333204,0.13564517,41
