,phot_g_mean_mag,bp_rp,distance_gspphot
359258,14.840752,2.5467129,83.0886
359259,9.6067705,1.1744709,50.2765
359263,9.446713,1.0300837,51.0381
359265,14.980514,2.6085062,85.9008
359269,13.428264,2.2958117,67.6587
359270,13.535997,2.301466,70.8736
359279,10.074518,1.2172403,55.8223
359281,17.637365,3.4425163,108.073
359282,7.3400197,0.72852755,53.5564
359289,8.643507,0.65514183,90.153
359295,15.40761,2.6770964,99.8702
359296,10.869432,1.0454111,99.6254
359300,14.814236,2.350709,95.7753
359301,10.730049,1.1604128,84.531
359302,14.084535,2.1627588,96.7323
359303,14.758324,2.3918304,83.979
359308,13.030967,1.8927488,95.2383
359309,15.32811,2.7763624,98.9366
359311,14.342153,2.4522867,90.5874
359312,13.87686,2.324398,100.2238
359315,14.394927,2.6732254,87.4185
359320,12.4124565,1.5809507,86.3748
359321,15.62574,2.6520233,92.7521
359328,17.04845,3.0892448,101.991
359329,9.536871,0.8193245,87.0816
359330,15.07691,2.6785965,99.3814
359332,14.798369,2.7576408,82.9615
359333,7.161991,0.88270044,26.9133
359336,12.229325,1.9590702,47.5196
359341,17.416061,3.203413,105.3085
359344,15.45041,2.7317839,86.8121
359345,14.464769,2.5818806,93.0018
359350,14.987812,2.561389,84.7381
359375,13.752896,2.224842,97.8757
359377,15.955278,2.7484121,97.0326
359383,10.356776,1.110218,87.0308
359392,14.974913,2.5679932,93.4369
359393,7.812974,0.66816807,56.7581
359399,10.780058,1.0620127,94.7899
359409,9.266245,0.82263374,73.4886
359422,15.816742,2.7830114,95.2101
359427,11.244534,1.9301043,43.359
359435,10.659018,2.0437403,25.6921
359436,15.736145,2.5092583,68.8777
359448,15.023976,2.454896,85.2333
359453,15.88639,3.3012896,47.1955
359478,15.6079445,2.5924683,88.8532
359482,13.393436,2.2563133,83.2073
359498,15.046081,2.3518171,81.3866
359510,8.542781,0.685133,84.2885
359517,9.509398,0.9221258,69.4893
359555,10.883607,1.1237822,92.8498
359577,10.524082,1.153163,77.3913
359602,15.225798,2.5918837,96.554
359605,15.768027,2.6196718,87.8246
359615,6.6752276,1.0869613,59.9766
359626,14.866286,2.9028416,42.8681
359653,15.458215,2.7488585,97.2099
359711,8.239611,0.5954156,97.4324
359758,10.51319,1.1909313,78.871
359769,14.3387,2.2648401,92.9137
359774,11.622369,1.8020687,81.1386
359784,11.192347,1.2290983,91.9897
359799,16.82463,3.0143528,92.7482
359804,16.83258,2.9060993,102.6117
359818,16.556885,3.060399,100.358
359823,14.448916,2.5262928,99.8226
359825,10.36636,0.9665508,91.9781
359830,7.877008,0.7171378,86.5963
359846,5.773683,0.12456274,60.3866
359847,11.005787,1.1313391,90.6992
359857,16.346497,3.0056667,104.1233
359868,9.766552,1.2420092,49.4567
359875,13.549657,2.140953,98.261
359921,10.562042,1.5470352,46.3462
359930,9.241662,0.87589836,71.2496
359955,12.364684,2.5918865,33.5289
359956,6.1327686,0.045579433,79.5338
359961,7.938399,0.62896156,74.5115
359964,12.985292,2.1039371,82.0223
359986,13.6934595,2.1749754,88.1854
359988,10.195708,1.1534481,80.1773
359990,10.120594,1.1155396,59.5234
359992,13.536986,2.3319216,89.2554
359999,7.9359646,0.62589455,99.7259
360027,10.9481735,1.1876965,82.0874
360032,15.248153,2.601285,98.4314
360033,17.4247,3.2746868,106.1584
360036,14.115637,2.3234873,92.9314
360040,8.821115,1.3505707,24.4545
360043,10.699197,1.3911943,57.6295
360047,10.612512,1.1573267,98.3387
360083,9.47087,0.8724251,77.8851
360101,10.434774,1.3224812,83.4145
360117,14.7487335,2.5510283,80.1956
360184,13.75433,2.319975,75.9189
360224,14.724458,2.2987041,91.1952
360229,14.087048,2.5990076,76.0761
360230,15.840098,2.753542,88.5911
360294,12.103502,2.1424408,47.1939
360309,15.120117,2.5326347,99.7523
360320,10.201652,1.0195541,75.0256
360333,9.520805,0.9584961,74.5972
360337,13.489449,2.0777779,99.7788
360339,11.689584,1.6638365,96.137
360340,9.049002,0.94042397,61.6175
360341,8.911317,0.8062897,82.5436
360348,13.346809,2.442523,81.7025
360350,14.285699,2.3540306,90.997
360351,17.488894,3.5436535,75.1179
360353,9.403078,0.8158064,86.1535
360358,13.641117,2.2811108,81.2328
360360,10.9817295,1.2484522,80.6552
360364,6.7883115,0.378201,87.6501
360370,16.248358,2.8470287,100.7694
360377,14.997962,2.6003275,93.8572
360379,14.966028,2.565586,86.6514
360380,13.752313,2.1095762,86.616
360381,14.637213,3.0309505,38.3598
360383,8.742304,0.74619865,76.0682
360384,12.860211,2.1102457,82.8068
360385,13.246669,2.0117025,85.1159
360386,15.914829,2.825739,97.577
360391,7.136922,0.8693929,27.8763
360392,14.087285,2.402978,89.9732
360394,16.649647,2.9032564,103.3066
360396,16.0735,2.8090143,97.7445
360398,13.468578,2.1165133,83.7775
360399,8.67197,1.0596666,36.8842
360400,10.904928,1.2498674,84.6051
360402,9.21132,0.75761986,90.0044
360403,16.032207,2.9712,101.3602
360406,7.8615336,0.69910336,98.8797
360413,15.13706,3.267684,35.7699
360416,14.333636,2.4089193,80.4897
360420,18.771101,3.8246384,92.2208
360421,10.940565,1.3804588,69.851
360425,9.714221,0.934844,98.1631
360427,9.219688,0.8910799,93.4252
360428,8.287764,1.1247449,29.45
360429,14.030382,2.8553667,34.5314
360432,15.840646,2.7759,100.2221
360433,13.79434,2.50216,76.1392
360437,8.013398,0.8157792,80.09
360445,9.412917,0.78796005,94.545
360457,7.6598644,0.87477255,35.5439
360462,15.32593,2.7518387,88.059
360468,13.248612,1.959034,82.5148
360469,14.8729105,2.5500183,88.7157
360471,7.945841,0.6532402,91.3591
360478,10.631114,1.0679312,95.4403
360487,13.328396,2.0467863,81.5432
360491,8.872969,0.7026205,94.1502
360494,13.627742,2.7490625,31.6681
360497,11.798618,1.4971514,89.0118
360500,15.2642145,2.490284,91.9216
360501,15.675725,2.855565,98.2816
360502,8.221704,0.75124407,79.4715
360503,13.907648,2.2028236,78.5418
360507,11.529194,1.4851503,78.9437
360508,14.454241,2.1440868,98.0514
360511,7.600814,0.63365746,57.4234
360514,11.759417,1.9187632,55.3655
360518,17.042255,3.0851994,105.076
360623,16.065893,2.8977804,98.613
360630,8.186155,0.5525656,99.1863
360641,7.9562216,0.71527004,69.662
360667,11.82988,1.7341003,67.8407
360695,16.798557,2.9918098,102.2958
360702,11.383786,1.3520412,90.8246
360707,12.307213,1.6779957,95.365
360714,16.120033,2.6109257,94.3133
360718,15.834628,2.9133863,92.6242
360721,14.8706665,2.6540308,96.2866
360722,15.840602,2.7396746,101.4709
360723,10.638884,1.1021738,89.2688
360732,13.303304,2.2829332,83.0574
360739,12.724572,1.7507591,100.4638
360742,13.563823,2.109641,90.6275
360746,12.153585,1.5846014,87.3918
360747,16.01822,2.6825104,95.4249
360748,14.491867,2.4693632,86.4165
360749,11.640485,1.3664579,92.9181
360750,17.728422,3.3876724,111.7381
360751,8.740478,0.70384884,87.5835
360753,14.162284,2.697713,85.6179
360761,15.699013,2.9546804,96.7235
360766,14.772633,2.6452417,94.2973
360774,16.745905,3.162674,101.825
360776,12.079757,2.4846601,28.2294
360779,12.673185,1.7168007,72.3005
360782,12.150845,1.8268232,73.0261
360790,14.68212,2.4782915,96.1395
360792,10.264915,0.92859745,94.2619
360794,9.397989,0.8434658,92.1295
360795,8.099617,0.7569933,67.7148
360796,14.216337,2.4295254,77.091
360800,16.208626,2.829194,101.4245
360801,14.14432,2.3109102,84.3054
360805,10.078599,1.4864855,37.8038
360806,14.765951,2.665289,84.221
360811,14.730511,2.6525621,85.4804
360812,14.264679,2.4112635,92.5917
360813,15.259771,2.6920414,89.4074
360820,7.9498243,0.6777787,62.0673
360827,13.877882,2.681903,123.5058
360831,14.548654,2.4780455,92.4945
360834,14.803337,2.6962767,91.2334
360835,12.785944,2.1412163,68.0062
360838,15.387697,2.7978964,90.4059
360846,15.505568,2.7969913,94.6555
360847,9.686425,0.8467264,91.4591
360850,14.688321,2.3845577,81.9324
